Dante Alighieri
Poe, Edgar Allan
Shakespeare, William
Dickens, Charles
London, Jack
Twain, Mark
Hugo, Victor
Spinoza, Benedictus de
Wilde, Oscar
Zola, Émile
Verne, Jules
Baldwin, James
Darwin, Charles
Tolstoy, Leo, graf
Cervantes Saavedra, Miguel de
Churchill, Winston
Luther, Martin
Maupassant, Guy de
Molière
Dostoyevsky, Fyodor
Casanova, Giacomo
Buffon, Georges Louis Leclerc, comte de
Gautier, Théophile
Warner, Susan
Southey, Robert
Guiney, Louise Imogen
Lynde, Francis
Pepys, Samuel
Mühlbach, L. (Luise)
Bourrienne, Louis Antoine Fauvelet de
Glyn, Elinor
Guizot, François
Ritchie, J. Ewing (James Ewing)
Griffiths, Arthur
Sinclair, May
Hubbard, Elbert
Sheckley, Robert
Roosevelt, Theodore
Caine, Hall, Sir
Merriman, Henry Seton
Coolidge, Susan
Hardy, Thomas
Suetonius
Schiller, Friedrich
Stevenson, Burton Egbert
Johnson, Owen
Speight, T. W. (Thomas Wilkinson)
Burnett, Frances Hodgson
Borrow, George
Gaboriau, Emile
Carleton, William
Standish, Burt L.
Andersen, H. C. (Hans Christian)
Onions, Oliver
Jameson, Mrs. (Anna)
Nourse, Alan Edward
Beecher, Catharine Esther
Samachson, Joseph
Warner, Anne
Thorne, Guy
O'Donnell, Elliott
Parker, Gilbert
Bradlaugh, Charles
Frederic, Harold
Couperus, Louis
Fox, John, Jr.
Richards, Laura Elizabeth Howe
Bone, Jesse F. (Jesse Franklin)
Bond, Nelson S.
Reade, Charles
Burnham, Clara Louise
Lever, Charles James
Ballou, Maturin M. (Maturin Murray)
Benson, E. F. (Edward Frederic)
Carey, Rosa Nouchette
Footner, Hulbert
Hutcheson, John C. (John Conroy)
Vaknin, Samuel
Browning, Elizabeth Barrett
Rohmer, Sax
Moore, George
Brown, Alice
Farjeon, B. L. (Benjamin Leopold)
Atherton, Gertrude Franklin Horn
Cullum, Ridgwell
Follen, Eliza Lee Cabot
Merle d'Aubigné, J. H. (Jean Henri)
Mansfield, M. F. (Milburg Francisco)
Masefield, John
Cholmondeley, Mary
Cannon, Richard
Reynolds, Mack
Smith, George O. (George Oliver)
Bird, Isabella L. (Isabella Lucy)
Walpole, Horace
Brackett, Leigh
Grant, James
Allen, James Lane
Southworth, Emma Dorothy Eliza Nevitte
Farrar, F. W. (Frederic William)
Meredith, George
Jonson, Ben
Bates, Arlo
Harris, Frank
Williamson, A. M. (Alice Muriel)
Unknown
Penrose, Margaret
Austin, Mary
Pennsylvania Prison Society
Lagerlöf, Selma
Sedgwick, Anne Douglas
Dixon, Thomas, Jr.
Yates, Edmund
Cicero, Marcus Tullius
Cody, H. A. (Hiram Alfred)
Kyne, Peter B. (Peter Bernard)
Rice, Alice Caldwell Hegan
Johnson, Willis Fletcher
Müller, F. Max (Friedrich Max)
Whittier, John Greenleaf
Seton, Ernest Thompson
Wilson, Ann
Yonge, Charlotte M. (Charlotte Mary)
Sue, Eugène
Duncan, Sara Jeannette
Holley, Marietta
Leslie, Madeline
Drake, Samuel Adams
Grey, Zane
Bridges, Robert
Hall, E. Raymond (Eugene Raymond)
Auerbach, Berthold
Symons, Arthur
Lincoln, Joseph Crosby
Irving, Washington
Leacock, Stephen
Edgeworth, Maria
Vandercook, Margaret
Locke, William John
Ebers, Georg
Nye, Bill
Raine, William MacLeod
Calvert, Albert Frederick
Murray, David Christie
Munro, Neil
Pemberton, Max
Kjelgaard, Jim
Burke, Edmund
Birmingham, George A.
Sabin, Edwin L. (Edwin Legrand)
